,date,seller,daily_sales
180,2023-01-26,Сергей Антонов,118.77
181,2023-01-26,Максим Иванов,74.29
182,2023-01-27,Иван Петров,67.87
183,2023-01-27,Мария Сидорова,114.47
184,2023-01-27,Алексей Козлов,93.3
185,2023-01-27,Елена Новикова,121.42
186,2023-01-27,Михаил Смирнов,114.2
187,2023-01-27,Сергей Антонов,97.82
188,2023-01-27,Максим Иванов,74.6
189,2023-01-28,Иван Петров,104.55
190,2023-01-28,Мария Сидорова,136.6
191,2023-01-28,Алексей Козлов,175.69
192,2023-01-28,Елена Новикова,156.42
193,2023-01-28,Михаил Смирнов,112.63
194,2023-01-28,Сергей Антонов,155.2
195,2023-01-28,Максим Иванов,161.56
196,2023-01-29,Иван Петров,123.48
197,2023-01-29,Мария Сидорова,154.61
198,2023-01-29,Алексей Козлов,151.75
199,2023-01-29,Елена Новикова,115.71
200,2023-01-29,Михаил Смирнов,160.73
201,2023-01-29,Сергей Антонов,166.82
202,2023-01-29,Максим Иванов,182.49
203,2023-01-30,Иван Петров,131.61
204,2023-01-30,Мария Сидорова,58.67
205,2023-01-30,Алексей Козлов,71.87
206,2023-01-30,Елена Новикова,115.45
207,2023-01-30,Михаил Смирнов,115.41
208,2023-01-30,Сергей Антонов,115.45
209,2023-01-30,Максим Иванов,215.58
210,2023-01-31,Иван Петров,117.13
211,2023-01-31,Мария Сидорова,134.07
212,2023-01-31,Алексей Козлов,128.62
213,2023-01-31,Елена Новикова,119.54
214,2023-01-31,Михаил Смирнов,90.54
215,2023-01-31,Сергей Антонов,122.77
216,2023-01-31,Максим Иванов,76.82
217,2023-02-01,Иван Петров,92.9
218,2023-02-01,Мария Сидорова,85.44
219,2023-02-01,Алексей Козлов,102.46
220,2023-02-01,Елена Новикова,169.44
221,2023-02-01,Михаил Смирнов,43.98
222,2023-02-01,Сергей Антонов,120.59
223,2023-02-01,Максим Иванов,51.62
224,2023-02-02,Иван Петров,85.84
225,2023-02-02,Мария Сидорова,132.67
226,2023-02-02,Алексей Козлов,101.93
227,2023-02-02,Елена Новикова,67.67
228,2023-02-02,Михаил Смирнов,78.54
229,2023-02-02,Сергей Антонов,120.39
230,2023-02-02,Максим Иванов,78.09
231,2023-02-03,Иван Петров,106.49
232,2023-02-03,Мария Сидорова,101.37
233,2023-02-03,Алексей Козлов,80.45
234,2023-02-03,Елена Новикова,164.32
235,2023-02-03,Михаил Смирнов,119.02
236,2023-02-03,Сергей Антонов,39.25
237,2023-02-03,Максим Иванов,105.59
238,2023-02-04,Иван Петров,130.15
239,2023-02-04,Мария Сидорова,175.57
240,2023-02-04,Алексей Козлов,126.22
241,2023-02-04,Елена Новикова,146.56
242,2023-02-04,Михаил Смирнов,165.15
243,2023-02-04,Сергей Антонов,175.97
244,2023-02-04,Максим Иванов,113.99
245,2023-02-05,Иван Петров,139.96
246,2023-02-05,Мария Сидорова,135.75
247,2023-02-05,Алексей Козлов,130.4
248,2023-02-05,Елена Новикова,202.96
249,2023-02-05,Михаил Смирнов,162.15
250,2023-02-05,Сергей Антонов,112.17
251,2023-02-05,Максим Иванов,177.54
252,2023-02-06,Иван Петров,163.66
253,2023-02-06,Мария Сидорова,130.97
254,2023-02-06,Алексей Козлов,54.42
255,2023-02-06,Елена Новикова,85.47
256,2023-02-06,Михаил Смирнов,138.01
257,2023-02-06,Сергей Антонов,78.77
258,2023-02-06,Максим Иванов,113.31
259,2023-02-07,Иван Петров,123.24
260,2023-02-07,Мария Сидорова,72.19
261,2023-02-07,Алексей Козлов,98.21
262,2023-02-07,Елена Новикова,2.76
263,2023-02-07,Михаил Смирнов,69.27
264,2023-02-07,Сергей Антонов,92.42
265,2023-02-07,Максим Иванов,62.57
266,2023-02-08,Иван Петров,148.97
267,2023-02-08,Мария Сидорова,57.1
268,2023-02-08,Алексей Козлов,86.8
269,2023-02-08,Елена Новикова,103.92
270,2023-02-08,Михаил Смирнов,143.24
271,2023-02-08,Сергей Антонов,56.92
272,2023-02-08,Максим Иванов,134.89
273,2023-02-09,Иван Петров,100.31
274,2023-02-09,Мария Сидорова,70.55
275,2023-02-09,Алексей Козлов,113.86
276,2023-02-09,Елена Новикова,105.97
277,2023-02-09,Михаил Смирнов,81.99
278,2023-02-09,Сергей Антонов,102.09
279,2023-02-09,Максим Иванов,88.44
280,2023-02-10,Иван Петров,103.41
281,2023-02-10,Мария Сидорова,119.86
282,2023-02-10,Алексей Козлов,147.58
283,2023-02-10,Елена Новикова,62.87
284,2023-02-10,Михаил Смирнов,163.99
285,2023-02-10,Сергей Антонов,41.44
286,2023-02-10,Максим Иванов,95.45
287,2023-02-11,Иван Петров,167.65
288,2023-02-11,Мария Сидорова,158.43
289,2023-02-11,Алексей Козлов,131.32
290,2023-02-11,Елена Новикова,143.76
291,2023-02-11,Михаил Смирнов,135.21
292,2023-02-11,Сергей Антонов,132.32
293,2023-02-11,Максим Иванов,175.49
294,2023-02-12,Иван Петров,160.71
295,2023-02-12,Мария Сидорова,129.21
296,2023-02-12,Алексей Козлов,176.99
297,2023-02-12,Елена Новикова,159.22
298,2023-02-12,Михаил Смирнов,174.39
299,2023-02-12,Сергей Антонов,168.89
300,2023-02-12,Максим Иванов,125.13
301,2023-02-13,Иван Петров,83.19
302,2023-02-13,Мария Сидорова,122.42
303,2023-02-13,Алексей Козлов,118.31
304,2023-02-13,Елена Новикова,99.37
305,2023-02-13,Михаил Смирнов,103.52
306,2023-02-13,Сергей Антонов,138.33
307,2023-02-13,Максим Иванов,82.25
308,2023-02-14,Иван Петров,116.41
309,2023-02-14,Мария Сидорова,93.93
310,2023-02-14,Алексей Козлов,93.47
311,2023-02-14,Елена Новикова,132.96
312,2023-02-14,Михаил Смирнов,124.76
313,2023-02-14,Сергей Антонов,124.41
314,2023-02-14,Максим Иванов,139.16
315,2023-02-15,Иван Петров,100.63
316,2023-02-15,Мария Сидорова,120.46
317,2023-02-15,Алексей Козлов,90.69
318,2023-02-15,Елена Новикова,109.72
319,2023-02-15,Михаил Смирнов,96.1
320,2023-02-15,Сергей Антонов,102.91
321,2023-02-15,Максим Иванов,117.85
322,2023-02-16,Иван Петров,75.45
323,2023-02-16,Мария Сидорова,162.77
324,2023-02-16,Алексей Козлов,69.82
325,2023-02-16,Елена Новикова,63.57
326,2023-02-16,Михаил Смирнов,134.74
327,2023-02-16,Сергей Антонов,123.75
328,2023-02-16,Максим Иванов,118.72
329,2023-02-17,Иван Петров,118.85
330,2023-02-17,Мария Сидорова,99.63
331,2023-02-17,Алексей Козлов,73.08
332,2023-02-17,Елена Новикова,102.27
333,2023-02-17,Михаил Смирнов,79.69
334,2023-02-17,Сергей Антонов,129.25
335,2023-02-17,Максим Иванов,95.59
336,2023-02-18,Иван Петров,125.24
337,2023-02-18,Мария Сидорова,140.36
338,2023-02-18,Алексей Козлов,162.39
339,2023-02-18,Елена Новикова,133.09
340,2023-02-18,Михаил Смирнов,125.33
341,2023-02-18,Сергей Антонов,157.31
342,2023-02-18,Максим Иванов,157.35
343,2023-02-19,Иван Петров,134.79
344,2023-02-19,Мария Сидорова,135.87
345,2023-02-19,Алексей Козлов,156.96
346,2023-02-19,Елена Новикова,106.56
347,2023-02-19,Михаил Смирнов,107.78
348,2023-02-19,Сергей Антонов,128.45
349,2023-02-19,Максим Иванов,143.6
350,2023-02-20,Иван Петров,109.33
351,2023-02-20,Мария Сидорова,144.26
352,2023-02-20,Алексей Козлов,125.73
353,2023-02-20,Елена Новикова,95.2
354,2023-02-20,Михаил Смирнов,99.43
355,2023-02-20,Сергей Антонов,69.92
356,2023-02-20,Максим Иванов,99.44
357,2023-02-21,Иван Петров,91.34
358,2023-02-21,Мария Сидорова,109.68
359,2023-02-21,Алексей Козлов,75.18
360,2023-02-21,Елена Новикова,115.58
361,2023-02-21,Михаил Смирнов,145.98
362,2023-02-21,Сергей Антонов,96.74
363,2023-02-21,Максим Иванов,112.05
364,2023-02-22,Иван Петров,120.7
365,2023-02-22,Мария Сидорова,87.96
366,2023-02-22,Алексей Козлов,106.72
367,2023-02-22,Елена Новикова,100.38
368,2023-02-22,Михаил Смирнов,102.93
369,2023-02-22,Сергей Антонов,76.81
370,2023-02-22,Максим Иванов,100.74
371,2023-02-23,Иван Петров,114.94
372,2023-02-23,Мария Сидорова,143.53
373,2023-02-23,Алексей Козлов,128.78
374,2023-02-23,Елена Новикова,164.6
375,2023-02-23,Михаил Смирнов,76.98
376,2023-02-23,Сергей Антонов,126.17
377,2023-02-23,Максим Иванов,105.5
378,2023-02-24,Иван Петров,165.69
379,2023-02-24,Мария Сидорова,75.75
380,2023-02-24,Алексей Козлов,74.81
381,2023-02-24,Елена Новикова,82.02
382,2023-02-24,Михаил Смирнов,36.28
383,2023-02-24,Сергей Антонов,84.23
384,2023-02-24,Максим Иванов,77.23
385,2023-02-25,Иван Петров,154.51
386,2023-02-25,Мария Сидорова,160.25
387,2023-02-25,Алексей Козлов,206.29
388,2023-02-25,Елена Новикова,178.51
389,2023-02-25,Михаил Смирнов,132.69
390,2023-02-25,Сергей Антонов,123.05
391,2023-02-25,Максим Иванов,164.76
392,2023-02-26,Иван Петров,110.39
393,2023-02-26,Мария Сидорова,204.94
394,2023-02-26,Алексей Козлов,185.38
395,2023-02-26,Елена Новикова,135.92
396,2023-02-26,Михаил Смирнов,98.61
397,2023-02-26,Сергей Антонов,190.62
398,2023-02-26,Максим Иванов,146.56
399,2023-02-27,Иван Петров,137.13
400,2023-02-27,Мария Сидорова,52.17
401,2023-02-27,Алексей Козлов,82.02
402,2023-02-27,Елена Новикова,100.16
403,2023-02-27,Михаил Смирнов,101.41
404,2023-02-27,Сергей Антонов,86.5
405,2023-02-27,Максим Иванов,118.69
406,2023-02-28,Иван Петров,67.97
407,2023-02-28,Мария Сидорова,95.73
408,2023-02-28,Алексей Козлов,103.61
409,2023-02-28,Елена Новикова,115.43
410,2023-02-28,Михаил Смирнов,121.35
411,2023-02-28,Сергей Антонов,66.26
412,2023-02-28,Максим Иванов,53.98
413,2023-03-01,Иван Петров,138.33
414,2023-03-01,Мария Сидорова,109.97
415,2023-03-01,Алексей Козлов,77.55
416,2023-03-01,Елена Новикова,146.53
417,2023-03-01,Михаил Смирнов,103.47
418,2023-03-01,Сергей Антонов,135.38
419,2023-03-01,Максим Иванов,102.03
420,2023-03-02,Иван Петров,161.82
421,2023-03-02,Мария Сидорова,152.66
422,2023-03-02,Алексей Козлов,92.53
423,2023-03-02,Елена Новикова,129.15
424,2023-03-02,Михаил Смирнов,119.36
425,2023-03-02,Сергей Антонов,141.06
426,2023-03-02,Максим Иванов,71.05
427,2023-03-03,Иван Петров,120.58
428,2023-03-03,Мария Сидорова,131.75
429,2023-03-03,Алексей Козлов,47.24
430,2023-03-03,Елена Новикова,64.5
431,2023-03-03,Михаил Смирнов,38.82
432,2023-03-03,Сергей Антонов,91.92
433,2023-03-03,Максим Иванов,121.53
434,2023-03-04,Иван Петров,195.07
435,2023-03-04,Мария Сидорова,152.22
436,2023-03-04,Алексей Козлов,198.86
437,2023-03-04,Елена Новикова,108.6
438,2023-03-04,Михаил Смирнов,98.9
439,2023-03-04,Сергей Антонов,148.33
440,2023-03-04,Максим Иванов,161.52
441,2023-03-05,Иван Петров,149.02
442,2023-03-05,Мария Сидорова,87.98
443,2023-03-05,Алексей Козлов,147.33
444,2023-03-05,Елена Новикова,110.87
445,2023-03-05,Михаил Смирнов,170.09
446,2023-03-05,Сергей Антонов,161.0
447,2023-03-05,Максим Иванов,121.8
448,2023-03-06,Иван Петров,84.58
449,2023-03-06,Мария Сидорова,68.22
450,2023-03-06,Алексей Козлов,98.12
451,2023-03-06,Елена Новикова,128.65
452,2023-03-06,Михаил Смирнов,70.43
453,2023-03-06,Сергей Антонов,115.12
454,2023-03-06,Максим Иванов,84.09
455,2023-03-07,Иван Петров,76.21
456,2023-03-07,Мария Сидорова,96.79
457,2023-03-07,Алексей Козлов,68.94
458,2023-03-07,Елена Новикова,83.39
459,2023-03-07,Михаил Смирнов,64.06
460,2023-03-07,Сергей Антонов,158.94
461,2023-03-07,Максим Иванов,101.06
462,2023-03-08,Иван Петров,79.01
463,2023-03-08,Мария Сидорова,106.42
464,2023-03-08,Алексей Козлов,96.63
465,2023-03-08,Елена Новикова,93.37
466,2023-03-08,Михаил Смирнов,118.43
467,2023-03-08,Сергей Антонов,122.73
468,2023-03-08,Максим Иванов,84.08
469,2023-03-09,Иван Петров,82.73
470,2023-03-09,Мария Сидорова,91.75
471,2023-03-09,Алексей Козлов,30.94
472,2023-03-09,Елена Новикова,54.54
473,2023-03-09,Михаил Смирнов,141.01
474,2023-03-09,Сергей Антонов,149.35
475,2023-03-09,Максим Иванов,92.53
476,2023-03-10,Иван Петров,117.3
477,2023-03-10,Мария Сидорова,109.34
478,2023-03-10,Алексей Козлов,192.37
479,2023-03-10,Елена Новикова,133.59
480,2023-03-10,Михаил Смирнов,96.16
481,2023-03-10,Сергей Антонов,71.33
482,2023-03-10,Максим Иванов,51.81
483,2023-03-11,Иван Петров,156.1
484,2023-03-11,Мария Сидорова,127.31
485,2023-03-11,Алексей Козлов,107.33
486,2023-03-11,Елена Новикова,130.6
487,2023-03-11,Михаил Смирнов,117.55
488,2023-03-11,Сергей Антонов,200.61
489,2023-03-11,Максим Иванов,176.45
490,2023-03-12,Иван Петров,149.76
491,2023-03-12,Мария Сидорова,194.4
492,2023-03-12,Алексей Козлов,152.32
493,2023-03-12,Елена Новикова,124.16
494,2023-03-12,Михаил Смирнов,195.69
495,2023-03-12,Сергей Антонов,166.17
496,2023-03-12,Максим Иванов,118.88
497,2023-03-13,Иван Петров,94.29
498,2023-03-13,Мария Сидорова,73.73
499,2023-03-13,Алексей Козлов,58.52
500,2023-03-13,Елена Новикова,127.79
501,2023-03-13,Михаил Смирнов,157.28
502,2023-03-13,Сергей Антонов,58.04
503,2023-03-13,Максим Иванов,116.89
504,2023-03-14,Иван Петров,80.48
505,2023-03-14,Мария Сидорова,85.39
506,2023-03-14,Алексей Козлов,82.23
507,2023-03-14,Елена Новикова,74.08
508,2023-03-14,Михаил Смирнов,101.46
509,2023-03-14,Сергей Антонов,75.07
510,2023-03-14,Максим Иванов,108.11
511,2023-03-15,Иван Петров,98.49
512,2023-03-15,Мария Сидорова,92.83
513,2023-03-15,Алексей Козлов,72.77
514,2023-03-15,Елена Новикова,82.7
515,2023-03-15,Михаил Смирнов,122.66
516,2023-03-15,Сергей Антонов,115.03
517,2023-03-15,Максим Иванов,70.67
518,2023-03-16,Иван Петров,102.98
519,2023-03-16,Мария Сидорова,122.54
520,2023-03-16,Алексей Козлов,49.92
521,2023-03-16,Елена Новикова,116.3
522,2023-03-16,Михаил Смирнов,80.12
523,2023-03-16,Сергей Антонов,117.12
524,2023-03-16,Максим Иванов,77.1
525,2023-03-17,Иван Петров,45.85
526,2023-03-17,Мария Сидорова,51.17
527,2023-03-17,Алексей Козлов,101.44
528,2023-03-17,Елена Новикова,107.79
529,2023-03-17,Михаил Смирнов,72.87
530,2023-03-17,Сергей Антонов,119.16
531,2023-03-17,Максим Иванов,50.15
532,2023-03-18,Иван Петров,148.02
533,2023-03-18,Мария Сидорова,113.67
534,2023-03-18,Алексей Козлов,130.44
535,2023-03-18,Елена Новикова,151.42
536,2023-03-18,Михаил Смирнов,124.19
537,2023-03-18,Сергей Антонов,138.46
538,2023-03-18,Максим Иванов,180.19
539,2023-03-19,Иван Петров,132.69
540,2023-03-19,Мария Сидорова,175.07
541,2023-03-19,Алексей Козлов,116.11
542,2023-03-19,Елена Новикова,165.89
543,2023-03-19,Михаил Смирнов,193.25
544,2023-03-19,Сергей Антонов,75.85
545,2023-03-19,Максим Иванов,126.09
546,2023-03-20,Иван Петров,117.31
547,2023-03-20,Мария Сидорова,93.91
548,2023-03-20,Алексей Козлов,111.13
549,2023-03-20,Елена Новикова,81.88
550,2023-03-20,Михаил Смирнов,102.6
551,2023-03-20,Сергей Антонов,95.33
552,2023-03-20,Максим Иванов,135.03
553,2023-03-21,Иван Петров,107.63
554,2023-03-21,Мария Сидорова,110.13
555,2023-03-21,Алексей Козлов,87.64
556,2023-03-21,Елена Новикова,85.37
557,2023-03-21,Михаил Смирнов,87.02
558,2023-03-21,Сергей Антонов,111.83
559,2023-03-21,Максим Иванов,87.37
560,2023-03-22,Иван Петров,108.69
561,2023-03-22,Мария Сидорова,162.26
562,2023-03-22,Алексей Козлов,126.13
563,2023-03-22,Елена Новикова,90.22
564,2023-03-22,Михаил Смирнов,136.04
565,2023-03-22,Сергей Антонов,87.76
566,2023-03-22,Максим Иванов,38.86
567,2023-03-23,Иван Петров,69.76
568,2023-03-23,Мария Сидорова,43.88
569,2023-03-23,Алексей Козлов,89.45
570,2023-03-23,Елена Новикова,100.55
571,2023-03-23,Михаил Смирнов,150.29
572,2023-03-23,Сергей Антонов,109.81
573,2023-03-23,Максим Иванов,93.43
574,2023-03-24,Иван Петров,124.88
575,2023-03-24,Мария Сидорова,33.67
576,2023-03-24,Алексей Козлов,107.07
577,2023-03-24,Елена Новикова,123.13
578,2023-03-24,Михаил Смирнов,55.64
579,2023-03-24,Сергей Антонов,134.31
580,2023-03-24,Максим Иванов,110.15
581,2023-03-25,Иван Петров,137.54
582,2023-03-25,Мария Сидорова,168.98
583,2023-03-25,Алексей Козлов,218.12
584,2023-03-25,Елена Новикова,155.46
585,2023-03-25,Михаил Смирнов,157.45
586,2023-03-25,Сергей Антонов,136.22
587,2023-03-25,Максим Иванов,124.5
588,2023-03-26,Иван Петров,174.91
589,2023-03-26,Мария Сидорова,124.32
590,2023-03-26,Алексей Козлов,152.15
591,2023-03-26,Елена Новикова,135.67
592,2023-03-26,Михаил Смирнов,164.37
593,2023-03-26,Сергей Антонов,160.01
594,2023-03-26,Максим Иванов,181.13
595,2023-03-27,Иван Петров,84.7
596,2023-03-27,Мария Сидорова,91.9
597,2023-03-27,Алексей Козлов,70.64
598,2023-03-27,Елена Новикова,86.67
599,2023-03-27,Михаил Смирнов,111.32
600,2023-03-27,Сергей Антонов,122.71
601,2023-03-27,Максим Иванов,72.34
602,2023-03-28,Иван Петров,126.09
603,2023-03-28,Мария Сидорова,140.67
604,2023-03-28,Алексей Козлов,112.4
605,2023-03-28,Елена Новикова,156.3
606,2023-03-28,Михаил Смирнов,76.79
607,2023-03-28,Сергей Антонов,62.66
608,2023-03-28,Максим Иванов,46.64
609,2023-03-29,Иван Петров,144.88
610,2023-03-29,Мария Сидорова,119.63
611,2023-03-29,Алексей Козлов,98.33
612,2023-03-29,Елена Новикова,108.4
613,2023-03-29,Михаил Смирнов,66.24
614,2023-03-29,Сергей Антонов,173.37
615,2023-03-29,Максим Иванов,103.88
616,2023-03-30,Иван Петров,103.28
617,2023-03-30,Мария Сидорова,121.77
618,2023-03-30,Алексей Козлов,114.43
619,2023-03-30,Елена Новикова,106.72
620,2023-03-30,Михаил Смирнов,76.29
621,2023-03-30,Сергей Антонов,114.14
622,2023-03-30,Максим Иванов,156.46
623,2023-03-31,Иван Петров,140.36
624,2023-03-31,Мария Сидорова,147.8
625,2023-03-31,Алексей Козлов,84.66
626,2023-03-31,Елена Новикова,70.31
627,2023-03-31,Михаил Смирнов,96.23
628,2023-03-31,Сергей Антонов,101.67
629,2023-03-31,Максим Иванов,132.83
630,2023-04-01,Иван Петров,99.23
631,2023-04-01,Мария Сидорова,195.89
632,2023-04-01,Алексей Козлов,145.26
633,2023-04-01,Елена Новикова,137.19
634,2023-04-01,Михаил Смирнов,119.64
635,2023-04-01,Сергей Антонов,100.35
636,2023-04-01,Максим Иванов,174.7
637,2023-04-02,Иван Петров,152.2
638,2023-04-02,Мария Сидорова,111.3
639,2023-04-02,Алексей Козлов,111.15
640,2023-04-02,Елена Новикова,139.93
641,2023-04-02,Михаил Смирнов,200.07
642,2023-04-02,Сергей Антонов,142.21
643,2023-04-02,Максим Иванов,104.91
644,2023-04-03,Иван Петров,92.63
645,2023-04-03,Мария Сидорова,91.82
646,2023-04-03,Алексей Козлов,19.09
